                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0691,                 6.3103,                    4.2,                0.00075,                0.92105,                0.00391,                0.00069,                 2.8087,                 17.173,                 4.1572,                0.00018,                0.00018,                0.00018
                      2,                 3.3709,                 6.1094,                  4.145,                0.00075,                0.92105,                0.05662,                0.00815,                 2.8146,                  17.16,                 4.1485,             0.00037248,             0.00037248,             0.00037248
                      3,                  3.173,                  5.611,                 4.1618,                0.00075,                0.92105,                0.03182,                0.00387,                 2.8235,                 16.941,                 4.1282,             0.00055703,             0.00055703,             0.00055703
                      4,                 3.1999,                  5.607,                 4.0578,                0.00075,                0.92105,                0.00269,                 0.0006,                  2.817,                 16.671,                 4.0632,             0.00073367,             0.00073367,             0.00073367
                      5,                 3.1326,                   5.28,                 4.0711,                 0.0006,                0.73684,                0.00406,                 0.0011,                 2.7414,                 16.249,                 3.9797,             0.00090238,             0.00090238,             0.00090238
                      6,                 3.0915,                 5.5871,                 4.0392,                 0.0006,                0.73684,                0.00437,                0.00109,                 2.7688,                 17.093,                 4.1491,              0.0010632,              0.0010632,              0.0010632
                      7,                 2.8932,                 4.8921,                 3.9091,                0.00066,                0.81579,                0.00177,                 0.0006,                 2.7199,                 13.583,                 3.7959,              0.0012161,              0.0012161,              0.0012161
                      8,                 3.1534,                 6.7104,                 3.9642,                0.00112,                0.65789,                0.01023,                0.00286,                 2.8426,                 10.355,                 3.6936,               0.001361,               0.001361,               0.001361
                      9,                 3.1182,                 5.3024,                 3.8567,                0.00095,                0.68421,                0.01069,                 0.0031,                 2.6989,                 12.549,                 3.9405,               0.001498,               0.001498,               0.001498
                     10,                 3.0467,                  5.061,                 3.8249,                0.00068,                0.78947,                0.00556,                0.00149,                   2.69,                  21.27,                 4.3372,              0.0016272,              0.0016272,              0.0016272
                     11,                 3.0566,                 4.6839,                 3.7834,                0.00075,                0.81579,                 0.0048,                0.00142,                  2.712,                 21.597,                 4.2024,               0.001604,               0.001604,               0.001604
                     12,                 3.0272,                 5.0215,                 3.6876,                0.00058,                0.71053,                0.00526,                0.00152,                 2.7637,                 13.521,                 3.7762,               0.001604,               0.001604,               0.001604
                     13,                 2.8636,                 4.5182,                 3.6963,                0.00066,                0.81579,                0.00578,                0.00155,                 2.7863,                 16.796,                 3.9064,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.9565,                 4.6893,                  3.627,                0.00066,                0.78947,                0.01593,                0.00339,                 2.8794,                 16.166,                 4.3765,              0.0015248,              0.0015248,              0.0015248
                     15,                 3.1265,                  4.927,                 3.6961,                0.22428,                0.02632,                0.01851,                0.00437,                 2.8512,                 14.411,                  4.192,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.6365,                 4.4791,                 3.4788,                0.00097,                0.89474,                0.01719,                0.00386,                 2.7037,                 14.032,                 3.6368,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.8636,                 5.1027,                 3.5543,                0.00101,                0.89474,                0.01317,                0.00329,                 2.7316,                 14.393,                 3.5523,               0.001406,               0.001406,               0.001406
                     18,                 2.8251,                 4.4396,                 3.5315,                0.00105,                0.92105,                0.06558,                 0.0198,                 2.8467,                 11.087,                 3.3399,              0.0013664,              0.0013664,              0.0013664
                     19,                  2.851,                 4.3628,                 3.4334,                0.00092,                0.89474,                0.02372,                0.00486,                 2.7647,                 10.441,                 3.4271,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.7374,                 4.5279,                 3.3206,                 0.0012,                0.89474,                0.09188,                0.02787,                 2.5381,                 8.5971,                 3.3719,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.5953,                 4.2976,                 3.2807,                0.00075,                0.76316,                0.00087,                0.00027,                 2.8061,                 1987.9,                 3.8245,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.7643,                 4.1576,                   3.39,                0.00071,                0.76316,                0.00097,                 0.0003,                 2.6509,                 1177.9,                 3.6178,               0.001208,               0.001208,               0.001208
                     23,                 2.5374,                  4.374,                 3.3508,                0.00106,                0.81579,                0.01615,                0.00364,                 2.7674,                  8.967,                 3.5339,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.8966,                 4.2025,                 3.4392,                0.00138,                0.97368,                0.00878,                0.00209,                 2.7215,                 10.189,                 3.6605,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.8442,                 3.9361,                 3.4066,                0.00134,                0.86842,                0.01904,                0.00618,                 2.7796,                 9.5448,                 3.8966,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.5691,                 4.3814,                  3.274,                0.00082,                0.78947,                0.00126,                0.00035,                 2.7719,                 444.25,                 4.2628,              0.0010496,              0.0010496,              0.0010496
                     27,                  2.772,                 4.1397,                 3.3969,                0.00122,                0.86842,                 0.0148,                0.00348,                 2.6754,                  8.018,                 3.4644,                0.00101,                0.00101,                0.00101
                     28,                 2.9189,                 4.0402,                 3.3489,                0.00123,                0.89474,                0.01061,                 0.0031,                 2.7375,                 9.2095,                 3.3917,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.8886,                 4.2686,                 3.3912,                0.00119,                0.92105,                0.04952,                 0.0141,                  2.633,                 9.6013,                 3.2545,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.8928,                  4.095,                  3.374,                0.00119,                0.94737,                0.08356,                0.01697,                 2.6645,                 9.3879,                 3.1763,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.5285,                 4.0083,                 3.2826,                0.00111,                0.94737,                0.03761,                0.00726,                 2.6612,                 9.2975,                 3.1734,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.7696,                 4.3878,                 3.3628,                0.00124,                0.92105,                0.01991,                0.00457,                 2.6052,                 8.4123,                 3.0277,               0.000812,               0.000812,               0.000812
                     33,                 2.8713,                 4.2056,                 3.3312,                0.00128,                0.92105,                 0.0126,                0.00344,                 2.6046,                 7.4402,                 3.0228,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.8015,                 4.0785,                  3.318,                0.00131,                0.97368,                0.06383,                0.01684,                 2.5372,                 7.3229,                  2.989,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.5601,                 3.9233,                 3.2519,                0.00116,                0.97368,                0.05454,                0.01494,                 2.5401,                 7.6135,                 3.0169,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.5948,                 3.8549,                 3.2154,                0.00107,                0.89474,                0.06807,                0.02374,                 2.5948,                 8.2297,                  3.144,              0.0006536,              0.0006536,              0.0006536
                     37,                  2.661,                 3.7987,                 3.1486,                0.00117,                0.89474,                0.07253,                0.02198,                 2.6637,                 9.0427,                 3.1972,               0.000614,               0.000614,               0.000614
                     38,                 2.6211,                 3.7894,                 3.1716,                0.00119,                0.86842,                0.07787,                0.02293,                 2.6864,                 9.4588,                 3.2281,              0.0005744,              0.0005744,              0.0005744
